pat,n,tau,fmi,emi,jmi
1,64,0,0.00874910518357911 0.00912010591153554 0.000159390468023606,0.0401506684310895 0.0424764660372254 0.00340910934180681,0.0581982412265632 0.0867173326283811 0.0108768514769338
1,64,0.1,0.0118880246575588 0.0127702842419252 0.000162440377458398,0.0478958191952767 0.0424690992795759 0.003084919731744,0.0627109800602128 0.0799149840041911 0.00893246254838387
1,64,0.2,0.0333498900637681 0.0330577574968073 0.00136567023028346,0.0971202585263965 0.0652165955968353 0.00645651028747064,0.13393982620193 0.11817278132347 0.020954841443552
1,64,0.3,0.0790905241655629 0.0517751908470152 0.00395943816039989,0.173086427409735 0.0819469752418956 0.0100624785735171,0.221264876496576 0.13577675917138 0.0296538109945911
1,64,0.4,0.158878120026169 0.077460825521737 0.00879811290450102,0.272153366538043 0.0870076737031308 0.0111584814479577,0.325119094679572 0.134087283588568 0.0307034116028064
1,64,0.5,0.295368850422189 0.10410230542682 0.0133574541427688,0.421431804610752 0.10781244799441 0.0172669869936118,0.515451107041721 0.178786057315109 0.0605502741507848
1,64,0.6,0.485757571083661 0.109640454253662 0.0140198224663636,0.626824636577558 0.115994356160291 0.0225832328736174,0.717309738303167 0.161045666121902 0.0605432823369352
1,64,0.7,0.735796441053375 0.131578970056372 0.0213669531930669,0.891448852598499 0.136025509178152 0.0275356429532034,1.02825565387709 0.181622517672099 0.0896205485742508
1,64,0.8,1.0897946300828 0.137075485495159 0.0278828207307643,1.26975119196086 0.145030606685692 0.0280402856910101,1.46142030841014 0.215643135567144 0.12892638775614
1,64,0.9,1.71827733335179 0.157117540458614 0.0279428339004956,1.9129280248827 0.161675695564782 0.044727561989609,2.19144143731967 0.238941127674843 0.170057331790271
1,128,0,0.0051577404145028 0.0100589851632244 0.000127380735967308,0.00583892492738342 0.022882797892951 0.000555620993959625,0.0266199969147048 0.0489109856716137 0.00309133961703021
1,128,0.1,0.0102749604076741 0.0103473890084545 0.000109615947050207,0.0149450867558798 0.0263929370988404 0.000702474316188191,0.0438602964529173 0.0548579487551962 0.004012435453529
1,128,0.2,0.0405079570621456 0.0303263193329587 0.00100610578084152,0.0614392049574684 0.0420144246217559 0.00188900643885099,0.0990297954118514 0.0745328616151528 0.00793684770882934
1,128,0.3,0.0987833776229405 0.0550277707983635 0.00327892217812123,0.131607606810801 0.0559376711431646 0.0033923195646913,0.17912974159536 0.0826417493745248 0.0109149638618106
1,128,0.4,0.210730988039117 0.0680226787874889 0.00475216868087284,0.247474347546759 0.069062557416182 0.00586700582397642,0.301799182568741 0.0888563006264474 0.0159277535823877
1,128,0.5,0.344179014670104 0.0748651681597237 0.00558569021754107,0.397366198398656 0.0779878775305056 0.00869626694347642,0.465534092005246 0.10115626687735 0.0244800591187659
1,128,0.6,0.521033381476033 0.0879789559309503 0.00986255478667682,0.592984460868234 0.0990072271401358 0.0115514088890789,0.675277629378894 0.113874309344556 0.0337315232345784
1,128,0.7,0.794605696347378 0.0908411299748924 0.0090843482234656,0.861121052241765 0.095391477189016 0.0132773065235108,0.968088900422154 0.127860821728032 0.0479986526276076
1,128,0.8,1.17303709943531 0.0979415894542034 0.0108971755959239,1.252606014094 0.104594495324732 0.0157330901767821,1.40119595433777 0.150125521856958 0.0740655232910242
1,128,0.9,1.81066991241487 0.0998974339246111 0.0122484421239203,1.90305062755487 0.110423657298438 0.014109767220104,2.14928607454849 0.141966882563797 0.106678271035062
1,256,0,0.0026192774277859 0.00212783736498886 1.13701953281441e-05,-0.0142884460295632 0.0126061274961417 0.000362438482586924,0.0138588162481094 0.0232233778021382 0.000729234763233543
1,256,0.1,0.0108441131523304 0.0166606114637844 0.000313324613688574,-0.000551676288950817 0.01769863004035 0.000434010248112407,0.0341942550978139 0.0337067053157665 0.00162418237465778
1,256,0.2,0.0846392520097353 0.027431094888033 0.000802182589320112,0.0427386308156887 0.0591557674805418 0.00468528498670102,0.0833777141381542 0.0426888889174651 0.00292912367314798
1,256,0.3,0.199997699103624 0.0388042258875837 0.00152851465043432,0.120363746404021 0.0394036031403708 0.00877104221759234,0.167652471869288 0.0524733897294778 0.005514725597129
1,256,0.4,0.29331499604041 0.0404574027405029 0.00239464355513103,0.22712688694531 0.0466317372844236 0.00824238281181318,0.279585874281181 0.0600215680328925 0.00815602867696225
1,256,0.5,0.410504178586438 0.0524196536418567 0.00374559733948853,0.373596553765592 0.0547358347536239 0.00689761786269159,0.434519661837122 0.0739018472597612 0.0132753676280499
1,256,0.6,0.580286185864156 0.0605751770188874 0.00506055060128533,0.56849501218428 0.0607610295536442 0.00610626321860529,0.632361115519537 0.0752066915395331 0.0159074980058782
1,256,0.7,0.843969595836278 0.0632891684058668 0.00659724291109418,0.84106609588502 0.0680251964744357 0.0075216349206952,0.924960555910252 0.0878920219254998 0.0259084591396841
1,256,0.8,1.23518282298226 0.0664243013064313 0.00825421077813569,1.23612625632777 0.0765261211099603 0.00957616005136595,1.340987755556 0.117508479330127 0.0416379202492521
1,256,0.9,1.88919311164269 0.0725343202876265 0.00706352849080168,1.89770065317641 0.085771951935898 0.00849656931174767,2.10952512327878 0.0887275226297069 0.0726241213589934
2,64,0,0.00800234902258863 0.00774774507111069 0.000123825033351498,0.0360947834334861 0.0398929605520731 0.00288791589951309,0.0578388348612793 0.0947876040884921 0.0122940819473917
2,64,0.1,0.0116047518761762 0.0112510237135573 0.000166978391029889,0.0519683685717339 0.0456091508657367 0.00322572392754792,0.0783350920675525 0.101379954324583 0.0138771068930991
2,64,0.2,0.0346506077641023 0.0303509783645432 0.0017788839847508,0.100149641775433 0.0623903452712626 0.00518378156282724,0.136958214498677 0.118846928900228 0.0193909952018148
2,64,0.3,0.0759078463446511 0.0588044853234903 0.00705520255512201,0.173006897765515 0.077559483831667 0.00736092212033298,0.222124799958691 0.130287673890273 0.0243244596237917
