pat,n,rho,fmi,emi,jmi
1,128,0,0.0448549572333931 0.0319758865924236 0.0010442603731552,0.0048834377676399 0.0409330836374774 0.0036841334898101,0.0643966986591262 0.116871073887234 0.0177784650139265
1,128,0.1,0.068323268903362 0.0408054305462056 0.00201858767867899,0.0356983737673385 0.0500940227423701 0.00515818375708908,0.117100748279376 0.140136379054916 0.0296575024239686
1,128,0.2,0.102692071834681 0.0516959915992077 0.00309751461840367,0.0796372167094818 0.0670265140907381 0.00640205701524899,0.213924374578124 0.157485128690672 0.048787149299245
1,128,0.3,0.15460110856793 0.0580117285707205 0.00400842791732862,0.145265928807308 0.066459611574238 0.00562091844227001,0.340907227932699 0.165826321309047 0.0763429257253931
1,128,0.4,0.223456160786448 0.0682317191301145 0.00551527964127594,0.227135569139192 0.0784231644879801 0.00680352163405696,0.490643650824359 0.176156394387915 0.116810560841258
1,128,0.5,0.308024245754901 0.0785516139414121 0.00732568199531344,0.328064470193582 0.0848846889516514 0.00739068230838245,0.649576326236676 0.166474590087503 0.154168753634811
1,128,0.6,0.418314952555261 0.0861104454375095 0.00899606012961587,0.453287770090315 0.096740562683844 0.0093647762472256,0.816125825195093 0.173289732472941 0.192206268397455
1,128,0.7,0.556779630183017 0.0901311854249124 0.00978799147960017,0.607908818599524 0.0988120586509204 0.00984699258213123,1.01124480587275 0.169863341879865 0.226226070556891
1,128,0.8,0.774899781367887 0.101959026532365 0.0129323990694134,0.831190103838221 0.114424217286178 0.0130994126399471,1.26997871766502 0.171739098127294 0.268909333860543
1,128,0.9,1.11581217990831 0.10391049276881 0.0113125446727503,1.21075656446799 0.104277479982473 0.0160039171732847,1.663130899409 0.161670604361404 0.300819250949464
1,256,0,0.0416548025508466 0.0197481280571131 0.000436355241113118,-0.00686634229240711 0.0283460486524466 0.00253701405280847,0.0403602740479904 0.079459549822726 0.0079301441391431
1,256,0.1,0.0617923253202864 0.0251174441030673 0.00063480161999192,0.0190836940954624 0.0350364804264138 0.00324866189898352,0.0825587182671729 0.087763721052623 0.0120101825838071
