sampsize,rho,name,value,family,type
128,0,pow.ex.fmi,0.04,Ex,fmi
128,0,pow.ex.jmi,0.04,Ex,jmi
128,0,pow.ex.emi,0.08,Ex,emi
128,0,pow.ar1.fmi,0.08,Ar1,fmi
128,0,pow.ar1.jmi,0.07,Ar1,jmi
128,0,pow.ar1.emi,0.05,Ar1,emi
128,0,pow.spatial.fmi,0.02,Spatial,fmi
128,0,pow.spatial.jmi,0.07,Spatial,jmi
128,0,pow.spatial.emi,0.06,Spatial,emi
128,0,pow.mild.fmi,0.07,Mild,fmi
128,0,pow.mild.jmi,0.08,Mild,jmi
128,0,pow.mild.emi,0.06,Mild,emi
128,0,pow.strong.fmi,0.02,Strong,fmi
128,0,pow.strong.jmi,0.08,Strong,jmi
128,0,pow.strong.emi,0.03,Strong,emi
128,0.1,pow.ex.fmi,0.3,Ex,fmi
128,0.1,pow.ex.jmi,0.06,Ex,jmi
128,0.1,pow.ex.emi,0.2,Ex,emi
128,0.1,pow.ar1.fmi,0.09,Ar1,fmi
128,0.1,pow.ar1.jmi,0.1,Ar1,jmi
128,0.1,pow.ar1.emi,0.07,Ar1,emi
128,0.1,pow.spatial.fmi,0.4,Spatial,fmi
128,0.1,pow.spatial.jmi,0.33,Spatial,jmi
128,0.1,pow.spatial.emi,0.28,Spatial,emi
128,0.1,pow.mild.fmi,0.22,Mild,fmi
128,0.1,pow.mild.jmi,0.04,Mild,jmi
128,0.1,pow.mild.emi,0.13,Mild,emi
128,0.1,pow.strong.fmi,0.16,Strong,fmi
128,0.1,pow.strong.jmi,0.06,Strong,jmi
128,0.1,pow.strong.emi,0.15,Strong,emi
128,0.2,pow.ex.fmi,0.71,Ex,fmi
128,0.2,pow.ex.jmi,0.26,Ex,jmi
128,0.2,pow.ex.emi,0.5,Ex,emi
128,0.2,pow.ar1.fmi,0.17,Ar1,fmi
128,0.2,pow.ar1.jmi,0.08,Ar1,jmi
128,0.2,pow.ar1.emi,0.15,Ar1,emi
128,0.2,pow.spatial.fmi,0.99,Spatial,fmi
128,0.2,pow.spatial.jmi,0.83,Spatial,jmi
128,0.2,pow.spatial.emi,0.91,Spatial,emi
128,0.2,pow.mild.fmi,0.66,Mild,fmi
128,0.2,pow.mild.jmi,0.14,Mild,jmi
128,0.2,pow.mild.emi,0.48,Mild,emi
128,0.2,pow.strong.fmi,0.33,Strong,fmi
128,0.2,pow.strong.jmi,0.1,Strong,jmi
128,0.2,pow.strong.emi,0.29,Strong,emi
128,0.3,pow.ex.fmi,0.97,Ex,fmi
128,0.3,pow.ex.jmi,0.47,Ex,jmi
128,0.3,pow.ex.emi,0.91,Ex,emi
128,0.3,pow.ar1.fmi,0.22,Ar1,fmi
128,0.3,pow.ar1.jmi,0.16,Ar1,jmi
128,0.3,pow.ar1.emi,0.12,Ar1,emi
128,0.3,pow.spatial.fmi,1,Spatial,fmi
128,0.3,pow.spatial.jmi,1,Spatial,jmi
128,0.3,pow.spatial.emi,1,Spatial,emi
128,0.3,pow.mild.fmi,0.98,Mild,fmi
128,0.3,pow.mild.jmi,0.54,Mild,jmi
128,0.3,pow.mild.emi,0.84,Mild,emi
128,0.3,pow.strong.fmi,0.85,Strong,fmi
128,0.3,pow.strong.jmi,0.39,Strong,jmi
128,0.3,pow.strong.emi,0.65,Strong,emi
