sampsize,val_tau,name,value,family,type
128,0,pow.gauss.fmi,0.06060606060606061,Gauss,fmi
128,0,pow.gauss.jmi,0.03636363636363636,Gauss,jmi
128,0,pow.gauss.emi,0.04242424242424243,Gauss,emi
128,0,pow.gumbel.fmi,0.03636363636363636,Gumbel,fmi
128,0,pow.gumbel.jmi,0.05454545454545454,Gumbel,jmi
128,0,pow.gumbel.emi,0.048484848484848485,Gumbel,emi
128,0,pow.clayton.fmi,0.06666666666666667,Clayton,fmi
128,0,pow.clayton.jmi,0.05454545454545454,Clayton,jmi
128,0,pow.clayton.emi,0.04242424242424243,Clayton,emi
128,0.05,pow.gauss.fmi,0.1393939393939394,Gauss,fmi
128,0.05,pow.gauss.jmi,0.07272727272727272,Gauss,jmi
128,0.05,pow.gauss.emi,0.04242424242424243,Gauss,emi
128,0.05,pow.gumbel.fmi,0.15757575757575756,Gumbel,fmi
128,0.05,pow.gumbel.jmi,0.048484848484848485,Gumbel,jmi
128,0.05,pow.gumbel.emi,0.07272727272727272,Gumbel,emi
128,0.05,pow.clayton.fmi,0.15757575757575756,Clayton,fmi
128,0.05,pow.clayton.jmi,0.05454545454545454,Clayton,jmi
128,0.05,pow.clayton.emi,0.05454545454545454,Clayton,emi
128,0.1,pow.gauss.fmi,0.36363636363636365,Gauss,fmi
128,0.1,pow.gauss.jmi,0.09696969696969697,Gauss,jmi
128,0.1,pow.gauss.emi,0.18181818181818182,Gauss,emi
128,0.1,pow.gumbel.fmi,0.45454545454545453,Gumbel,fmi
128,0.1,pow.gumbel.jmi,0.09090909090909091,Gumbel,jmi
128,0.1,pow.gumbel.emi,0.18787878787878787,Gumbel,emi
128,0.1,pow.clayton.fmi,0.4,Clayton,fmi
128,0.1,pow.clayton.jmi,0.07878787878787878,Clayton,jmi
128,0.1,pow.clayton.emi,0.24242424242424243,Clayton,emi
128,0.15,pow.gauss.fmi,0.6666666666666666,Gauss,fmi
128,0.15,pow.gauss.jmi,0.1393939393939394,Gauss,jmi
128,0.15,pow.gauss.emi,0.32727272727272727,Gauss,emi
128,0.15,pow.gumbel.fmi,0.7151515151515152,Gumbel,fmi
128,0.15,pow.gumbel.jmi,0.2,Gumbel,jmi
128,0.15,pow.gumbel.emi,0.3696969696969697,Gumbel,emi
128,0.15,pow.clayton.fmi,0.7454545454545455,Clayton,fmi
128,0.15,pow.clayton.jmi,0.21818181818181817,Clayton,jmi
128,0.15,pow.clayton.emi,0.4,Clayton,emi
128,0.2,pow.gauss.fmi,0.8848484848484849,Gauss,fmi
128,0.2,pow.gauss.jmi,0.24848484848484848,Gauss,jmi
128,0.2,pow.gauss.emi,0.6303030303030303,Gauss,emi
128,0.2,pow.gumbel.fmi,0.9272727272727272,Gumbel,fmi
128,0.2,pow.gumbel.jmi,0.3090909090909091,Gumbel,jmi
128,0.2,pow.gumbel.emi,0.7151515151515152,Gumbel,emi
128,0.2,pow.clayton.fmi,0.9090909090909091,Clayton,fmi
128,0.2,pow.clayton.jmi,0.34545454545454546,Clayton,jmi
128,0.2,pow.clayton.emi,0.6787878787878788,Clayton,emi
128,0.25,pow.gauss.fmi,0.9878787878787879,Gauss,fmi
128,0.25,pow.gauss.jmi,0.44242424242424244,Gauss,jmi
128,0.25,pow.gauss.emi,0.8303030303030303,Gauss,emi
128,0.25,pow.gumbel.fmi,0.9939393939393939,Gumbel,fmi
128,0.25,pow.gumbel.jmi,0.5454545454545454,Gumbel,jmi
128,0.25,pow.gumbel.emi,0.8606060606060606,Gumbel,emi
128,0.25,pow.clayton.fmi,0.9939393939393939,Clayton,fmi
128,0.25,pow.clayton.jmi,0.5696969696969697,Clayton,jmi
128,0.25,pow.clayton.emi,0.8666666666666667,Clayton,emi
128,0.3,pow.gauss.fmi,1,Gauss,fmi
128,0.3,pow.gauss.jmi,0.7575757575757576,Gauss,jmi
128,0.3,pow.gauss.emi,0.9818181818181818,Gauss,emi
128,0.3,pow.gumbel.fmi,1,Gumbel,fmi
128,0.3,pow.gumbel.jmi,0.7696969696969697,Gumbel,jmi
128,0.3,pow.gumbel.emi,0.9696969696969697,Gumbel,emi
128,0.3,pow.clayton.fmi,1,Clayton,fmi
128,0.3,pow.clayton.jmi,0.8,Clayton,jmi
128,0.3,pow.clayton.emi,0.9696969696969697,Clayton,emi
128,0.35,pow.gauss.fmi,1,Gauss,fmi
128,0.35,pow.gauss.jmi,0.9090909090909091,Gauss,jmi
128,0.35,pow.gauss.emi,1,Gauss,emi
128,0.35,pow.gumbel.fmi,1,Gumbel,fmi
128,0.35,pow.gumbel.jmi,0.9575757575757575,Gumbel,jmi
128,0.35,pow.gumbel.emi,1,Gumbel,emi
128,0.35,pow.clayton.fmi,1,Clayton,fmi
128,0.35,pow.clayton.jmi,0.9515151515151515,Clayton,jmi
128,0.35,pow.clayton.emi,1,Clayton,emi
128,0.4,pow.gauss.fmi,1,Gauss,fmi
128,0.4,pow.gauss.jmi,0.9757575757575757,Gauss,jmi
128,0.4,pow.gauss.emi,1,Gauss,emi
128,0.4,pow.gumbel.fmi,1,Gumbel,fmi
128,0.4,pow.gumbel.jmi,0.9696969696969697,Gumbel,jmi
128,0.4,pow.gumbel.emi,1,Gumbel,emi
128,0.4,pow.clayton.fmi,1,Clayton,fmi
128,0.4,pow.clayton.jmi,0.9939393939393939,Clayton,jmi
128,0.4,pow.clayton.emi,1,Clayton,emi
128,0.45,pow.gauss.fmi,1,Gauss,fmi
128,0.45,pow.gauss.jmi,0.9939393939393939,Gauss,jmi
128,0.45,pow.gauss.emi,1,Gauss,emi
128,0.45,pow.gumbel.fmi,1,Gumbel,fmi
128,0.45,pow.gumbel.jmi,1,Gumbel,jmi
128,0.45,pow.gumbel.emi,1,Gumbel,emi
128,0.45,pow.clayton.fmi,1,Clayton,fmi
128,0.45,pow.clayton.jmi,1,Clayton,jmi
128,0.45,pow.clayton.emi,1,Clayton,emi
128,0.5,pow.gauss.fmi,1,Gauss,fmi
128,0.5,pow.gauss.jmi,1,Gauss,jmi
128,0.5,pow.gauss.emi,1,Gauss,emi
128,0.5,pow.gumbel.fmi,1,Gumbel,fmi
128,0.5,pow.gumbel.jmi,1,Gumbel,jmi
128,0.5,pow.gumbel.emi,1,Gumbel,emi
128,0.5,pow.clayton.fmi,1,Clayton,fmi
128,0.5,pow.clayton.jmi,1,Clayton,jmi
128,0.5,pow.clayton.emi,1,Clayton,emi
256,0,pow.gauss.fmi,0.04242424242424243,Gauss,fmi
256,0,pow.gauss.jmi,0.06666666666666667,Gauss,jmi
256,0,pow.gauss.emi,0.048484848484848485,Gauss,emi
256,0,pow.gumbel.fmi,0.01818181818181818,Gumbel,fmi
256,0,pow.gumbel.jmi,0.048484848484848485,Gumbel,jmi
256,0,pow.gumbel.emi,0.04242424242424243,Gumbel,emi
256,0,pow.clayton.fmi,0.07878787878787878,Clayton,fmi
256,0,pow.clayton.jmi,0.06666666666666667,Clayton,jmi
256,0,pow.clayton.emi,0.06666666666666667,Clayton,emi
256,0.05,pow.gauss.fmi,0.14545454545454545,Gauss,fmi
256,0.05,pow.gauss.jmi,0.05454545454545454,Gauss,jmi
256,0.05,pow.gauss.emi,0.07878787878787878,Gauss,emi
256,0.05,pow.gumbel.fmi,0.23636363636363636,Gumbel,fmi
256,0.05,pow.gumbel.jmi,0.06666666666666667,Gumbel,jmi
256,0.05,pow.gumbel.emi,0.11515151515151516,Gumbel,emi
256,0.05,pow.clayton.fmi,0.19393939393939394,Clayton,fmi
256,0.05,pow.clayton.jmi,0.06666666666666667,Clayton,jmi
